english_number,arabic_number,english_id,arabic_id,english_category,arabic_category,same_category,similarity_score,english_preview,arabic_preview
7,6,35,88,adaptation,science,False,0.5956,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
8,2,36,80,adaptation,policy,False,0.5952,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
9,10,23,95,impact,impact,True,0.5942,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
10,6,24,88,impact,science,False,0.5903,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
10,9,24,94,impact,impact,True,0.5903,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
1,5,1,87,policy,science,False,0.5893,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could ",كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
8,1,36,79,adaptation,policy,False,0.5886,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
6,6,13,88,science,science,True,0.588,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
9,5,23,87,impact,science,False,0.5875,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
3,4,3,86,policy,science,False,0.5856,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
7,2,35,80,adaptation,policy,False,0.5843,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
6,2,13,80,science,policy,False,0.5819,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
4,6,11,88,science,science,True,0.581,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
3,6,3,88,policy,science,False,0.5775,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
3,10,3,95,policy,impact,False,0.5768,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
9,6,23,88,impact,science,False,0.5754,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",بلغ تركيز ثاني أكسيد الكربون في الغلاف الجوي 424 جزءاً في المليون في مايو 2024 وفقاً للإدارة الوطنية
5,2,12,80,science,policy,False,0.5752,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
8,3,36,81,adaptation,policy,False,0.5702,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
2,9,2,94,policy,impact,False,0.5699,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
9,7,23,103,impact,adaptation,False,0.5683,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
6,8,13,104,science,adaptation,False,0.5675,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
6,9,13,94,science,impact,False,0.5651,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
10,5,24,87,impact,science,False,0.5637,"Mediterranean wildfires in the summer of 2023 burned over 400,000 hectares across Greece, Turkey, Al",كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
7,3,35,81,adaptation,policy,False,0.5633,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
4,3,11,81,science,policy,False,0.5574,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في
4,8,11,104,science,adaptation,False,0.5563,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,أطلقت مدينة عمّان خطة العمل المناخي في عام 2021 بهدف خفض انبعاثات غازات الاحتباس الحراري البلدية بنس
5,9,12,94,science,impact,False,0.5561,A study published in Science in January 2024 found that the Greenland Ice Sheet lost approximately 2,فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
8,4,36,86,adaptation,science,False,0.5547,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
7,5,35,87,adaptation,science,False,0.5539,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
4,2,11,80,science,policy,False,0.5519,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 ملي
2,5,2,87,policy,science,False,0.5501,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
6,7,13,103,science,adaptation,False,0.5483,"The Arctic sea ice extent reached its sixth-lowest level on record in September 2023, according to t",افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
7,1,35,79,adaptation,policy,False,0.5472,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن
2,4,2,86,policy,science,False,0.5456,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
2,10,2,95,policy,impact,False,0.5441,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. T",شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
8,10,36,95,adaptation,impact,False,0.543,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
7,9,35,94,adaptation,impact,False,0.5402,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
9,4,23,86,impact,science,False,0.5393,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels drop",أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
4,9,11,94,science,impact,False,0.5379,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
4,7,11,103,science,adaptation,False,0.5366,Researchers at NASA's Goddard Institute for Space Studies confirmed that 2023 was the warmest year o,افتتحت المملكة الأردنية الهاشمية محطة طاقة شمسية بقدرة 200 ميغاواط في المفرق في يناير 2024، ليصل إجم
3,5,3,87,policy,science,False,0.5265,"The World Bank announced a $12.5 billion climate adaptation fund in June 2024, targeting vulnerable ",كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
8,5,36,87,adaptation,science,False,0.5222,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",كشفت دراسة نُشرت في مجلة ساينس أن الغطاء الجليدي في غرينلاند فقد حوالي 270 مليار طن من الجليد سنوياً
8,9,36,94,adaptation,impact,False,0.5221,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringi",فقد البحر الميت نحو ثلث مساحته السطحية منذ عام 1960، حيث ينخفض مستوى المياه بأكثر من متر واحد سنوياً
7,10,35,95,adaptation,impact,False,0.4932,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",شهدت عمّان صيفها الأكثر حرارة على الإطلاق في عام 2023، حيث تجاوزت درجات الحرارة 40 درجة مئوية في 18 
7,4,35,86,adaptation,science,False,0.4877,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 ",أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق
