system,text_id,category,entity_text,entity_label,start_char,end_char,context_snippet
ruler_before_ner,5,policy,NDCs,POLICY,269,273,hort of the Paris Agreement targets. He called for enhanced ambition in the next round of NDCs due by February 2025 and stressed the importance of loss and damage financing for developing nations.
ruler_before_ner,47,policy,Nationally Determined Contribution,POLICY,16,50,India's updated Nationally Determined Contribution pledges to achieve 50% cumulative installed electric power capacity from non-fossil fuel sources by 2030 and reduce the carbon in
ruler_before_ner,71,policy,NDCs,POLICY,192,196,"rees Celsius of warming by 2100. Full implementation of all conditional and unconditional NDCs would reduce this to 2.0 degrees, still above the Paris Agreement goal. The report called for a 42% reduction in global emissions"
ruler_before_ner,6,policy,Carbon Border Adjustment Mechanism,POLICY_MECHANISM,21,55,"The European Union's Carbon Border Adjustment Mechanism entered its transitional phase in October 2023, requiring importers to report the carbon content of goods including steel, cement"
ruler_before_ner,1,policy,Sixth Assessment Report,REPORT,22,45,"The IPCC released its Sixth Assessment Report in March 2023, warning that global temperatures could exceed 1.5 degrees Celsius above pre-industrial levels by 2030. The report "
ruler_before_ner,38,adaptation,Adaptation Gap Report,REPORT,7,28,UNEP's Adaptation Gap Report 2023 found that adaptation finance needs in developing countries are 10 to 18 times greater than current public finance flows. Th
ruler_before_ner,71,policy,Emissions Gap Report,REPORT,7,27,UNEP's Emissions Gap Report 2023 found that current policies put the world on track for 2.5 to 2.9 degrees Celsius of warming by 2100. Full implementation of
ruler_before_ner,123,science,Global Methane Assessment,REPORT,59,84,"The United Nations Environment Programme released its 2023 Global Methane Assessment, finding that human-caused methane emissions could be reduced by 45% by 2030 using available technologies at a net benefit. The a"
ruler_before_ner,1,policy,1.5 degrees Celsius,THRESHOLD,107,126," its Sixth Assessment Report in March 2023, warning that global temperatures could exceed 1.5 degrees Celsius above pre-industrial levels by 2030. The report emphasized the urgent need for immediate and deep emission reductions across all "
ruler_before_ner,14,science,2 degrees,THRESHOLD,166,175, mass coral bleaching event in seven years during March 2024. Water temperatures exceeded 2 degrees Celsius above the seasonal average for 14 consecutive days. The bleaching affected 75% of surveyed reef areas and threatens the b
ruler_before_ner,30,impact,2 degrees,THRESHOLD,249,258,outh Asia and maize yields in Sub-Saharan Africa are projected to decline by 10-25% under 2 degrees of warming. The report estimates that 3.3 to 3.6 billion people live in contexts highly vulnerable to climate change.
ruler_before_ner,34,impact,2 degrees,THRESHOLD,188,197,"re projected to decline by 70-90% under 1.5 degrees of warming and virtually disappear at 2 degrees. The economic value of coral reef services, including fisheries, tourism, and coastal protection, is estimated at $375 billion pe"
ruler_before_ner,76,science,2 degrees,THRESHOLD,320,329,ed in frequency since 1982 and are projected to become 20 to 50 times more frequent under 2 degrees of warming. These events devastate fisheries and accelerate ice shelf disintegration.
ruler_after_ner,2,policy,COP28,CLIMATE_EVENT,3,8,"At COP28 in Dubai, over 190 nations agreed to transition away from fossil fuels in energy systems. The United Arab Emirates presidency bro"
ruler_after_ner,10,policy,COP28,CLIMATE_EVENT,395,400,"tation, and clean energy deployment. The statement was seen as a positive signal ahead of COP28."
ruler_after_ner,47,policy,COP26,CLIMATE_EVENT,274,279,"ity of GDP by 45% from 2005 levels. Prime Minister Narendra Modi announced the targets at COP26 in Glasgow in November 2021, alongside a net-zero target of 2070."
ruler_after_ner,48,policy,COP28,CLIMATE_EVENT,89,94,"The Loss and Damage Fund, established at COP27 in Sharm el-Sheikh and operationalized at COP28, received initial pledges totaling $792 million. Germany and the UAE each pledged $100 million, while the United Kingdom committe"
ruler_after_ner,190,policy,COP26,CLIMATE_EVENT,39,44,"The Global Methane Pledge, launched at COP26 in Glasgow, has been signed by over 150 countries committing to reduce methane emissions by 30% below 2020 levels by 2030. If ful"
ruler_after_ner,48,policy,Loss and Damage Fund,CLIMATE_FUND,4,24,"The Loss and Damage Fund, established at COP27 in Sharm el-Sheikh and operationalized at COP28, received initial pledges totaling $792 million. Germany an"
ruler_after_ner,5,policy,nationally determined contributions,POLICY,137,172,"ed delegates at the Bonn Climate Change Conference in June 2024, emphasizing that current nationally determined contributions fall short of the Paris Agreement targets. He called for enhanced ambition in the next round of NDCs due by February 2025 and str"
ruler_after_ner,5,policy,NDCs,POLICY,269,273,hort of the Paris Agreement targets. He called for enhanced ambition in the next round of NDCs due by February 2025 and stressed the importance of loss and damage financing for developing nations.
ruler_after_ner,71,policy,NDCs,POLICY,192,196,"rees Celsius of warming by 2100. Full implementation of all conditional and unconditional NDCs would reduce this to 2.0 degrees, still above the Paris Agreement goal. The report called for a 42% reduction in global emissions"
