text_id,language,category,source,model,text_length_words,entity_count,has_entities
39,en,adaptation,European Adaptation Case Studies,spaCy:xx_ent_wiki_sm,60,5,True
39,en,adaptation,European Adaptation Case Studies,HF:Davlan/xlm-roberta-base-wikiann-ner,60,7,True
66,en,adaptation,UNEP Great Green Wall Report,spaCy:xx_ent_wiki_sm,64,7,True
66,en,adaptation,UNEP Great Green Wall Report,HF:Davlan/xlm-roberta-base-wikiann-ner,64,5,True
70,en,adaptation,MENA Environmental Report,spaCy:xx_ent_wiki_sm,55,5,True
70,en,adaptation,MENA Environmental Report,HF:Davlan/xlm-roberta-base-wikiann-ner,55,5,True
171,en,adaptation,AgriTech Climate Report,spaCy:xx_ent_wiki_sm,66,4,True
171,en,adaptation,AgriTech Climate Report,HF:Davlan/xlm-roberta-base-wikiann-ner,66,3,True
187,en,adaptation,India Solar Energy Report,spaCy:xx_ent_wiki_sm,62,5,True
187,en,adaptation,India Solar Energy Report,HF:Davlan/xlm-roberta-base-wikiann-ner,62,4,True
23,en,impact,MENA Environmental Report,spaCy:xx_ent_wiki_sm,64,5,True
23,en,impact,MENA Environmental Report,HF:Davlan/xlm-roberta-base-wikiann-ner,64,4,True
31,en,impact,National Hurricane Center,spaCy:xx_ent_wiki_sm,62,6,True
31,en,impact,National Hurricane Center,HF:Davlan/xlm-roberta-base-wikiann-ner,62,6,True
32,en,impact,World Food Programme Bulletin,spaCy:xx_ent_wiki_sm,61,7,True
32,en,impact,World Food Programme Bulletin,HF:Davlan/xlm-roberta-base-wikiann-ner,61,7,True
157,en,impact,Global Biodiversity Monitor,spaCy:xx_ent_wiki_sm,63,3,True
157,en,impact,Global Biodiversity Monitor,HF:Davlan/xlm-roberta-base-wikiann-ner,63,4,True
177,en,impact,ILO Heat Stress Report,spaCy:xx_ent_wiki_sm,67,6,True
177,en,impact,ILO Heat Stress Report,HF:Davlan/xlm-roberta-base-wikiann-ner,67,6,True
9,en,policy,Green Climate Fund Dispatch,spaCy:xx_ent_wiki_sm,61,6,True
9,en,policy,Green Climate Fund Dispatch,HF:Davlan/xlm-roberta-base-wikiann-ner,61,6,True
52,en,policy,UNEP Ozone Secretariat,spaCy:xx_ent_wiki_sm,59,7,True
52,en,policy,UNEP Ozone Secretariat,HF:Davlan/xlm-roberta-base-wikiann-ner,59,3,True
71,en,policy,UNEP Emissions Gap Report,spaCy:xx_ent_wiki_sm,66,5,True
71,en,policy,UNEP Emissions Gap Report,HF:Davlan/xlm-roberta-base-wikiann-ner,66,3,True
151,en,policy,International Court of Justice Advisory,spaCy:xx_ent_wiki_sm,63,2,True
151,en,policy,International Court of Justice Advisory,HF:Davlan/xlm-roberta-base-wikiann-ner,63,2,True
189,en,policy,Climate Action Tracker,spaCy:xx_ent_wiki_sm,61,7,True
189,en,policy,Climate Action Tracker,HF:Davlan/xlm-roberta-base-wikiann-ner,61,7,True
55,en,science,Global Carbon Project,spaCy:xx_ent_wiki_sm,65,5,True
55,en,science,Global Carbon Project,HF:Davlan/xlm-roberta-base-wikiann-ner,65,6,True
57,en,science,British Antarctic Survey,spaCy:xx_ent_wiki_sm,65,3,True
57,en,science,British Antarctic Survey,HF:Davlan/xlm-roberta-base-wikiann-ner,65,4,True
129,en,science,Earth's Future Journal,spaCy:xx_ent_wiki_sm,67,3,True
129,en,science,Earth's Future Journal,HF:Davlan/xlm-roberta-base-wikiann-ner,67,3,True
138,en,science,Nature Climate Change,spaCy:xx_ent_wiki_sm,68,7,True
138,en,science,Nature Climate Change,HF:Davlan/xlm-roberta-base-wikiann-ner,68,7,True
144,en,science,Science Advances,spaCy:xx_ent_wiki_sm,70,7,True
144,en,science,Science Advances,HF:Davlan/xlm-roberta-base-wikiann-ner,70,7,True
