text_id,language,category,source,text_snippet,spacy_entity_count,hf_entity_count,shared_entities,spacy_only_entities,hf_only_entities,spacy_entities,hf_entities,qualitative_note
79,ar,policy,ملخص تقرير الهيئة الحكومية الدولية,أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن العالم يتجه نحو تجاوز عتبة 1.5 درجة مئوية بحلول عام 2030. وأكد التقرير أن الحد من الاحترار يتطلب خفض الانبعاثات العالمية بنسبة 43% بحلول عام 2030 مقارنة بمستوي,1,1,None,وأكد التقرير (PER),الهيئة الحكومية الدولية المعنية بتغير المناخ (ORG),وأكد التقرير (PER),الهيئة الحكومية الدولية المعنية بتغير المناخ (ORG),Model outputs differ; inspect examples for boundary/type differences.
81,ar,policy,نشرة السياسات المناخية,في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في أنظمة الطاقة. وطالبت الدول النامية بتعويضات عن الأضرار المناخية التي لحقت بها رغم مساهمتها المحدودة في الانبعاثات. كما أُعلن عن صندوق لمعالجة الخسائر والأضرار ,0,2,None,None,دبي (LOC) | مؤتمر الأطراف الثامن والعشرين (ORG),None,مؤتمر الأطراف الثامن والعشرين (ORG) | دبي (LOC),Arabic coverage gap: HF found entities while spaCy found none.
84,ar,policy,نشرة التنظيمات المناخية الأوروبية,أطلق الاتحاد الأوروبي آلية تعديل حدود الكربون في أكتوبر 2023، والتي تلزم المستوردين بالإبلاغ عن محتوى الكربون في السلع المستوردة كالفولاذ والإسمنت والألمنيوم. وتهدف الآلية إلى منع تسرب الكربون وضمان تكافؤ الفرص التنافسية بين المنتجين الأوروبيين والمستوردين من ,2,3,None,دول (ORG) | وتهدف (MISC),الاتحاد الأوروبي (ORG) | تعديل (ORG) | حدود الكربون (ORG),وتهدف (MISC) | دول (ORG),الاتحاد الأوروبي (ORG) | تعديل (ORG) | حدود الكربون (ORG),Model outputs differ; inspect examples for boundary/type differences.
166,ar,policy,تقرير المنتدى العربي للبيئة والتنمية,أصدر المنتدى العربي للبيئة والتنمية تقريره السنوي حول حالة البيئة العربية، مشيراً إلى أن تكاليف التدهور البيئي في المنطقة العربية تبلغ 5% من الناتج المحلي الإجمالي سنوياً. وأوصى التقرير بتبني اقتصاد أخضر دائري يقلل الهدر ويعظم كفاءة استخدام الموارد الطبيعية، خ,0,4,None,None,اقتصاد أخضر دائري (LOC) | البيئة العربية (LOC) | العربية (LOC) | المنتدى العربي للبيئة والتنمية (ORG),None,المنتدى العربي للبيئة والتنمية (ORG) | البيئة العربية (LOC) | العربية (LOC) | اقتصاد أخضر دائري (LOC),Arabic coverage gap: HF found entities while spaCy found none.
175,ar,policy,تقرير مؤتمر الرياض للمناخ,"استضافت مدينة الرياض المؤتمر السعودي الأول للمناخ والاستدامة في نوفمبر 2023 بمشاركة 2,000 متخصص من 60 دولة. وأُعلن خلال المؤتمر عن إطلاق صندوق استثماري بقيمة 2.5 مليار دولار لتمويل مشاريع التقنيات النظيفة في المنطقة العربية. كما وقّعت 8 دول عربية على ميثاق الت",2,3,None,كما (ORG) | وأُعلن (MISC),المؤتمر السعودي الأول (ORG) | المنطقة العربية (LOC) | مدينة الرياض (LOC),وأُعلن (MISC) | كما (ORG),مدينة الرياض (LOC) | المؤتمر السعودي الأول (ORG) | المنطقة العربية (LOC),Model outputs differ; inspect examples for boundary/type differences.
86,ar,science,مجلة نيتشر لتغير المناخ,أكد باحثون في معهد غودارد لدراسات الفضاء التابع لوكالة ناسا أن عام 2023 كان الأكثر حرارة على الإطلاق، حيث بلغ متوسط درجات الحرارة العالمية 1.48 درجة مئوية فوق خط الأساس للفترة 1850-1900. وساهمت ظاهرة النينو التي تطورت في منتصف 2023 في تضخيم اتجاهات الاحترار عب,1,5,None,وساهمت (PER),جنوب أوروبا (LOC) | شرق الأوسط (LOC) | شمال أفريقيا (LOC) | معهد غودارد لدراسات الفضاء (ORG) | ناسا (ORG),وساهمت (PER),معهد غودارد لدراسات الفضاء (ORG) | ناسا (ORG) | جنوب أوروبا (LOC) | شمال أفريقيا (LOC) | شرق الأوسط (LOC),Arabic model difference: HF found substantially more entities than spaCy.
91,ar,science,تقرير حالة المناخ العالمي,سجلت المنظمة العالمية للأرصاد الجوية ارتفاعاً في مستوى سطح البحر العالمي بمقدار 4.5 مليمتر في عام 2023، وهو أعلى ارتفاع سنوي منذ بدء القياسات بالأقمار الاصطناعية في 1993. ويعود 40% من الارتفاع إلى التمدد الحراري لمياه المحيطات، بينما يساهم ذوبان الأنهار الجليد,0,2,None,None,المنظمة العالمية للأرصاد الجوية (ORG) | مستوى سطح البحر العالمي (ORG),None,المنظمة العالمية للأرصاد الجوية (ORG) | مستوى سطح البحر العالمي (ORG),Arabic coverage gap: HF found entities while spaCy found none.
116,ar,science,التقرير المناخي للإدارة الوطنية للمحيطات,"بلغ تركيز الميثان في الغلاف الجوي 1,923 جزءاً في المليار في عام 2023، أي أكثر من 2.5 ضعف مستوى ما قبل الثورة الصناعية البالغ 722 جزءاً في المليار. ومن المتوقع أن تحدد بيانات القمر الاصطناعي ميثان سات الذي أُطلق في مارس 2024 مصادر انبعاثات الميثان من منشآت النف",2,4,None,أُطلق (MISC) | ضعف (ORG),الثورة الصناعية (ORG) | القمر الاصطناعي (ORG) | لاف (ORG) | ميثان سات (ORG),ضعف (ORG) | أُطلق (MISC),لاف (ORG) | الثورة الصناعية (ORG) | القمر الاصطناعي (ORG) | ميثان سات (ORG),Arabic model difference: HF found substantially more entities than spaCy.
135,ar,science,تقرير المناخ الإقليمي,تكشف البيانات الحديثة أن منطقة الشرق الأوسط وشمال أفريقيا تسجل معدلات احترار تفوق المتوسط العالمي بمقدار الضعف. وارتفعت درجات الحرارة في المنطقة بمقدار 1.5 درجة مئوية منذ عصر ما قبل الصناعة، مقارنة بالمتوسط العالمي البالغ 1.1 درجة. وتحذر الدراسات من أن أجزاء م,2,4,None,درجات الحرارة (PER) | وتحذر الدراسات (PER),الخليج العربي (LOC) | المتوسط العالمي (ORG) | شمال أفريقيا (LOC) | منطقة الشرق الأوسط (LOC),درجات الحرارة (PER) | وتحذر الدراسات (PER),منطقة الشرق الأوسط (LOC) | شمال أفريقيا (LOC) | المتوسط العالمي (ORG) | الخليج العربي (LOC),Arabic model difference: HF found substantially more entities than spaCy.
178,ar,science,تقرير حالة المناخ العالمي,وثّق تقرير المنظمة العالمية للأرصاد الجوية أن العقد 2014-2023 كان الأكثر حرارة في التاريخ المسجل، حيث تجاوز متوسط درجة الحرارة العالمية مستويات ما قبل الثورة الصناعية بأكثر من درجة مئوية واحدة. وسُجلت أعلى الحالات الشاذة في القطب الشمالي الذي يسخن بمعدل يفوق ا,2,4,None,وثّق (ORG) | وسُجلت (MISC),الثورة الصناعية (ORG) | المتوسط العالمي (ORG) | المنظمة العالمية للأرصاد الجوية (ORG) | درجة الحرارة (ORG),وثّق (ORG) | وسُجلت (MISC),المنظمة العالمية للأرصاد الجوية (ORG) | درجة الحرارة (ORG) | الثورة الصناعية (ORG) | المتوسط العالمي (ORG),Arabic model difference: HF found substantially more entities than spaCy.
39,en,adaptation,European Adaptation Case Studies,"The Netherlands' Room for the River program, completed in 2019 at a cost of 2.3 billion euros, redesigned 34 locations along the Rhine, Meuse, and IJssel rivers to accommodate higher water levels. Rather than raising dikes further, the program lowered floodpla",5,7,Europe (LOC) | Meuse (LOC) | Netherlands (LOC) | Rhine (LOC),IJssel (LOC),I (LOC) | IJssel river (LOC) | Room for the River program (ORG),Netherlands (LOC) | Rhine (LOC) | Meuse (LOC) | IJssel (LOC) | Europe (LOC),Netherlands (LOC) | Room for the River program (ORG) | Rhine (LOC) | Meuse (LOC) | I (LOC) | IJssel river (LOC) | Europe (LOC),English outputs are similar in entity count; inspect label differences.
66,en,adaptation,UNEP Great Green Wall Report,"The Great Green Wall of the Sahara and Sahel Initiative, launched in 2007, aims to restore 100 million hectares of degraded land across 8,000 kilometers from Senegal to Djibouti. As of 2024, approximately 18 million hectares have been restored. UNEP coordinate",7,5,Djibouti (LOC) | One Planet Summit (ORG) | Senegal (LOC),African (MISC) | Great Green Wall of the Sahara (LOC) | Sahel Initiative (ORG) | UNEP (ORG),African na (LOC) | Great Green Wall of the Sahara and Sahel Initiative (ORG),Great Green Wall of the Sahara (LOC) | Sahel Initiative (ORG) | Senegal (LOC) | Djibouti (LOC) | UNEP (ORG) | African (MISC) | One Planet Summit (MISC),Great Green Wall of the Sahara and Sahel Initiative (ORG) | Senegal (LOC) | Djibouti (LOC) | African na (LOC) | One Planet Summit (ORG),English outputs are similar in entity count; inspect label differences.
70,en,adaptation,MENA Environmental Report,"Urban heat island effects in Middle Eastern cities amplify ambient temperatures by 3 to 8 degrees Celsius above surrounding areas. Amman, Riyadh, and Baghdad are among the fastest-warming cities globally. Adaptation strategies include cool roof mandates requir",5,5,Amman (LOC) | Baghdad (LOC) | Riyadh (LOC),Celsius (PER) | Middle Eastern (LOC),Middle East (LOC) | Urban heat island effects (ORG),Middle Eastern (LOC) | Celsius (PER) | Amman (PER) | Riyadh (LOC) | Baghdad (LOC),Urban heat island effects (ORG) | Middle East (LOC) | Amman (LOC) | Riyadh (LOC) | Baghdad (LOC),English outputs are similar in entity count; inspect label differences.
171,en,adaptation,AgriTech Climate Report,"Precision agriculture technologies using satellite imagery, drone-based monitoring, and AI-driven decision support systems have demonstrated water savings of 30-50% in arid regions. A pilot project in the Jordan Valley equipped 200 farms with IoT soil moisture",4,3,Jordan Valley (LOC) | Jordanian Ministry of Agriculture (ORG),GIZ (ORG) | IoT (MISC),support (PER),Jordan Valley (LOC) | IoT (MISC) | GIZ (ORG) | Jordanian Ministry of Agriculture (ORG),support (PER) | Jordan Valley (LOC) | Jordanian Ministry of Agriculture (ORG),English outputs are similar in entity count; inspect label differences.
187,en,adaptation,India Solar Energy Report,"India's National Solar Mission has installed over 70 gigawatts of solar capacity as of 2024, targeting 280 gigawatts by 2030. The Bhadla Solar Park in Rajasthan, spanning 14,000 acres with 2,245 megawatts of capacity, is among the world's largest solar install",5,4,Bhadla Solar Park (ORG) | India (LOC) | National Solar Mission (ORG) | Rajasthan (LOC),None,None,India (LOC) | National Solar Mission (MISC) | Bhadla Solar Park (LOC) | Rajasthan (LOC),India (LOC) | National Solar Mission (ORG) | Bhadla Solar Park (ORG) | Rajasthan (LOC),English outputs are similar in entity count; inspect label differences.
23,en,impact,MENA Environmental Report,"The Dead Sea has lost approximately one-third of its surface area since 1960, with water levels dropping by more than 1 meter per year. Climate change, reduced rainfall in the Jordan River basin, and water diversion for agriculture have accelerated the decline",5,4,Dead Sea (LOC) | Jordan (LOC) | West Bank (LOC),Jordan River (LOC) | Sinkholes (LOC),Jordan River basin (LOC),Dead Sea (LOC) | Jordan River (LOC) | Sinkholes (LOC) | Jordan (LOC) | West Bank (ORG),Dead Sea (LOC) | Jordan River basin (LOC) | Jordan (LOC) | West Bank (LOC),English outputs are similar in entity count; inspect label differences.
31,en,impact,National Hurricane Center,"Hurricane Otis made landfall near Acapulco, Mexico on October 25, 2023 as a Category 5 storm with sustained winds of 270 kilometers per hour. The storm intensified from a tropical storm to Category 5 in just 12 hours, a rate of rapid intensification unpreceden",6,6,Category 5 (ORG) | Eastern Pacific (LOC) | Hurricane Otis (ORG),Acapulco (LOC) | Category (LOC) | Mexico (LOC),"Acapulco, Mexico (LOC) | Category 5 storm (ORG) | tropical storm (ORG)",Hurricane Otis (MISC) | Acapulco (LOC) | Mexico (LOC) | Category 5 (MISC) | Category (LOC) | Eastern Pacific (LOC),"Hurricane Otis (ORG) | Acapulco, Mexico (LOC) | Category 5 storm (ORG) | tropical storm (ORG) | Category 5 (ORG) | Eastern Pacific (LOC)",English outputs are similar in entity count; inspect label differences.
32,en,impact,World Food Programme Bulletin,"The Sahel region of Africa experienced its worst food crisis in a decade during 2023, with 45 million people facing acute food insecurity. Erratic rainfall patterns, prolonged droughts, and locust infestations destroyed crops across Burkina Faso, Mali, Niger, ",7,7,Africa (LOC) | Burkina Faso (LOC) | Chad (LOC) | Mali (LOC) | Niger (LOC) | World Food Programme (ORG),Sahel (LOC),Sahel region (LOC),Sahel (LOC) | Africa (LOC) | Burkina Faso (LOC) | Mali (LOC) | Niger (LOC) | Chad (LOC) | World Food Programme (MISC),Sahel region (LOC) | Africa (LOC) | Burkina Faso (LOC) | Mali (LOC) | Niger (LOC) | Chad (LOC) | World Food Programme (ORG),English outputs are similar in entity count; inspect label differences.
157,en,impact,Global Biodiversity Monitor,"The Global Biodiversity Framework Monitor reported that 37% of shark and ray species are now threatened with extinction, largely due to overfishing amplified by habitat degradation from ocean warming and acidification. Coral reef-dependent species are declinin",3,4,Coral (LOC) | Global Biodiversity Framework Monitor (ORG) | Mediterranean Sea (LOC),None,shark and ray (LOC),Global Biodiversity Framework Monitor (MISC) | Coral (PER) | Mediterranean Sea (LOC),Global Biodiversity Framework Monitor (ORG) | shark and ray (LOC) | Coral (LOC) | Mediterranean Sea (LOC),English outputs are similar in entity count; inspect label differences.
177,en,impact,ILO Heat Stress Report,"The International Labour Organization estimated that 80 million full-time equivalent jobs will be lost globally by 2030 due to heat stress reducing outdoor labor productivity. Agriculture, construction, and waste collection workers face the greatest exposure. ",6,6,International Labour Organization (ORG) | Jordan (LOC) | Middle East (LOC) | Qatar (LOC) | Saudi Arabia (LOC) | UAE (LOC),None,None,International Labour Organization (ORG) | Middle East (ORG) | Qatar (LOC) | UAE (LOC) | Saudi Arabia (LOC) | Jordan (PER),International Labour Organization (ORG) | Middle East (LOC) | Qatar (LOC) | UAE (LOC) | Saudi Arabia (LOC) | Jordan (LOC),English outputs are similar in entity count; inspect label differences.
9,en,policy,Green Climate Fund Dispatch,"The Green Climate Fund approved $1.2 billion in new project funding during its October 2023 board meeting in Songdo, South Korea. Approved projects include a $150 million coastal resilience program in Bangladesh, a $90 million reforestation initiative in the C",6,6,Bangladesh (LOC) | Congo Basin (LOC) | Green Climate Fund (ORG) | Jordan (LOC) | Songdo (LOC) | South Korea (LOC),None,None,Green Climate Fund (ORG) | Songdo (LOC) | South Korea (LOC) | Bangladesh (LOC) | Congo Basin (LOC) | Jordan (LOC),Green Climate Fund (ORG) | Songdo (LOC) | South Korea (LOC) | Bangladesh (LOC) | Congo Basin (LOC) | Jordan (LOC),English outputs are similar in entity count; inspect label differences.
52,en,policy,UNEP Ozone Secretariat,"The Kigali Amendment to the Montreal Protocol, which entered into force in January 2019, mandates an 80% reduction in hydrofluorocarbon production and consumption by 2047. HFCs are potent greenhouse gases with warming potentials thousands of times greater than",7,3,Montreal Protocol (ORG),Celsius (PER) | CO2 (MISC) | HFCs (MISC) | Kigali Amendment (LOC) | UNEP (ORG),Kigali Amendment to (ORG) | UN (ORG),Kigali Amendment (LOC) | Montreal Protocol (MISC) | HFCs (MISC) | CO2 (MISC) | UNEP (ORG) | Celsius (PER),Kigali Amendment to (ORG) | Montreal Protocol (ORG) | UN (ORG),Model outputs differ; inspect examples for boundary/type differences.
71,en,policy,UNEP Emissions Gap Report,"UNEP's Emissions Gap Report 2023 found that current policies put the world on track for 2.5 to 2.9 degrees Celsius of warming by 2100. Full implementation of all conditional and unconditional NDCs would reduce this to 2.0 degrees, still above the Paris Agreeme",5,3,Paris Agreement (ORG) | UNEP (ORG),Celsius (PER) | Emissions Gap Report 2023 (MISC) | NDCs (MISC),Emissions Gap Report (ORG),UNEP (ORG) | Emissions Gap Report 2023 (MISC) | Celsius (PER) | NDCs (MISC) | Paris Agreement (ORG),UNEP (ORG) | Emissions Gap Report (ORG) | Paris Agreement (ORG),English outputs are similar in entity count; inspect label differences.
151,en,policy,International Court of Justice Advisory,"A landmark ruling by the International Court of Justice in March 2024 established that nations have a legal obligation to prevent transboundary harm from greenhouse gas emissions. The advisory opinion, requested by Vanuatu and supported by over 130 countries, ",2,2,International Court of Justice (ORG) | Vanuatu (LOC),None,None,International Court of Justice (ORG) | Vanuatu (LOC),International Court of Justice (ORG) | Vanuatu (LOC),English outputs are similar in entity count; inspect label differences.
189,en,policy,Climate Action Tracker,"The Climate Action Tracker, an independent scientific analysis consortium, rates only 6 of 40 assessed countries as having Paris Agreement-compatible policies. The remaining countries' policies range from insufficient to critically insufficient. Major emitters",7,7,China (LOC) | Climate Action Tracker (ORG) | India (LOC) | Russia (LOC) | United States (LOC),G20 (ORG) | Paris Agreement-compatible (ORG),G (ORG) | Paris Agreement (LOC),Climate Action Tracker (ORG) | Paris Agreement-compatible (ORG) | United States (LOC) | China (LOC) | Russia (LOC) | India (LOC) | G20 (ORG),Climate Action Tracker (ORG) | Paris Agreement (LOC) | United States (LOC) | China (LOC) | Russia (LOC) | India (LOC) | G (ORG),English outputs are similar in entity count; inspect label differences.
55,en,science,Global Carbon Project,"The Global Carbon Project estimated that total CO2 emissions from fossil fuels and industry reached 36.8 billion tonnes in 2023, a 1.1% increase over 2022. Coal emissions rose by 1.0% to 15.5 billion tonnes, oil emissions increased by 1.5%, and natural gas emi",5,6,China (LOC) | European Union (ORG) | India (LOC),CO2 (MISC) | The Global Carbon Project (MISC),and industry (ORG) | CO2 emissions (ORG) | Global Carbon Project (ORG),The Global Carbon Project (MISC) | CO2 (MISC) | India (LOC) | China (LOC) | European Union (ORG),Global Carbon Project (ORG) | CO2 emissions (ORG) | and industry (ORG) | India (LOC) | China (LOC) | European Union (ORG),English outputs are similar in entity count; inspect label differences.
57,en,science,British Antarctic Survey,The British Antarctic Survey reported in February 2024 that Antarctic sea ice extent had been below the previous record low for 9 of the preceding 12 months. The continent lost 2.6 million square kilometers of ice below the 1981-2010 median. Researchers are in,3,4,British Antarctic Survey (ORG),Antarctic (LOC),Antarctic ice dynamic (LOC) | Antarctic sea ice (LOC) | heat transport (LOC),British Antarctic Survey (ORG) | Antarctic (LOC) | Antarctic (MISC),British Antarctic Survey (ORG) | Antarctic sea ice (LOC) | Antarctic ice dynamic (LOC) | heat transport (LOC),English outputs are similar in entity count; inspect label differences.
129,en,science,Earth's Future Journal,"Climate change has altered precipitation patterns across the Middle East, with winter rainfall declining by 10-20% since 1960 while extreme precipitation events have become more frequent and intense. A study published in Earth's Future found that the probabili",3,3,Earth's Future (ORG) | Eastern Mediterranean (LOC) | Middle East (LOC),None,None,Middle East (ORG) | Earth's Future (MISC) | Eastern Mediterranean (MISC),Middle East (LOC) | Earth's Future (ORG) | Eastern Mediterranean (LOC),English outputs are similar in entity count; inspect label differences.
138,en,science,Nature Climate Change,"Scientists from the Alfred Wegener Institute published evidence in Nature Climate Change that the rate of Antarctic ice loss tripled between 2012 and 2022 compared to the previous decade. The Thwaites Glacier, nicknamed the Doomsday Glacier, is retreating at a",7,7,Alfred Wegener Institute (ORG) | Antarctic (LOC) | Doomsday Glacier (LOC) | Nature Climate Change (ORG) | Thwaites Glacier (LOC) | West Antarctic Ice Sheet (LOC),Complete (PER),i (ORG),Alfred Wegener Institute (ORG) | Nature Climate Change (MISC) | Antarctic (MISC) | Thwaites Glacier (LOC) | Doomsday Glacier (PER) | Complete (PER) | West Antarctic Ice Sheet (ORG),Alfred Wegener Institute (ORG) | Nature Climate Change (ORG) | Antarctic (LOC) | i (ORG) | Thwaites Glacier (LOC) | Doomsday Glacier (LOC) | West Antarctic Ice Sheet (LOC),English outputs are similar in entity count; inspect label differences.
144,en,science,Science Advances,"The Red Sea coral reefs, among the most heat-resistant in the world, face growing threats from coastal development and pollution despite their unique thermal tolerance. Research published in Science Advances found that corals in the Gulf of Aqaba can withstand",7,7,Jordan (LOC) | Red Sea (LOC) | Saudi Arabia (LOC) | Science Advances (ORG),Celsius (PER) | Gulf of Aqaba (LOC),f of Aqaba (LOC) | Gul (LOC) | Red Sea coral re (LOC),Red Sea (LOC) | Science Advances (MISC) | Gulf of Aqaba (LOC) | Celsius (PER) | Jordan (LOC) | Saudi Arabia (LOC),Red Sea coral re (LOC) | Science Advances (ORG) | Gul (LOC) | f of Aqaba (LOC) | Jordan (LOC) | Saudi Arabia (LOC) | Red Sea (LOC),English outputs are similar in entity count; inspect label differences.
